,date,group,turnover,cost
58,2016-05-03,9,0.9800557181508127,0.004900278590754064
59,2017-05-02,0,0.7305126879908691,0.0036525634399543457
60,2017-05-02,1,0.975333985884266,0.00487666992942133
61,2017-05-02,2,0.9450099339454678,0.004725049669727339
62,2017-05-02,3,0.9206128497186497,0.004603064248593248
63,2017-05-02,4,0.8391912034564861,0.0041959560172824305
64,2017-05-02,5,0.803264314763141,0.004016321573815705
65,2017-05-02,6,0.8194624275001399,0.0040973121375007
66,2017-05-02,7,0.8715246920550648,0.004357623460275324
67,2017-05-02,8,0.9414414414414416,0.004707207207207208
68,2017-05-02,9,0.971830985915493,0.004859154929577465
69,2018-05-02,0,1.0,0.005
70,2018-05-02,1,0.9792609065224869,0.004896304532612435
71,2018-05-02,2,0.9339679133140056,0.004669839566570028
72,2018-05-02,3,0.8817275779860679,0.0044086378899303395
73,2018-05-02,4,0.844403335284133,0.0042220166764206654
74,2018-05-02,5,0.8402905788789634,0.004201452894394817
75,2018-05-02,6,0.81743570000046,0.0040871785000022995
76,2018-05-02,7,0.8409121655224511,0.004204560827612255
77,2018-05-02,8,0.8488378895960953,0.004244189447980476
78,2018-05-02,9,0.8366732149833586,0.004183366074916793
79,2019-05-06,1,1.0,0.005
80,2019-05-06,2,0.8957531019332712,0.004478765509666356
81,2019-05-06,3,0.8920578132603953,0.004460289066301977
82,2019-05-06,4,0.8139704893833506,0.004069852446916753
83,2019-05-06,5,0.8217893331191145,0.004108946665595572
84,2019-05-06,6,0.812836772036845,0.004064183860184225
85,2019-05-06,7,0.8327245193591686,0.004163622596795843
86,2019-05-06,8,0.866157947430989,0.0043307897371549445
87,2019-05-06,9,0.9307520498978489,0.004653760249489244
88,2020-05-06,1,0.9840464773520651,0.004920232386760325
89,2020-05-06,2,0.9318854237506813,0.004659427118753406
90,2020-05-06,3,0.9105824950112225,0.004552912475056113
91,2020-05-06,4,0.8338627432863285,0.004169313716431642
92,2020-05-06,5,0.8263326649826763,0.004131663324913382
93,2020-05-06,6,0.8104245909719969,0.0040521229548599845
94,2020-05-06,7,0.8855783847969452,0.004427891923984726
95,2020-05-06,8,0.9188802511206668,0.004594401255603334
96,2020-05-06,9,0.9388740859111911,0.004694370429555956
97,2021-05-06,1,0.9925780825627951,0.004962890412813976
98,2021-05-06,2,0.9452518138558341,0.004726259069279171
99,2021-05-06,3,0.9168213777414627,0.004584106888707314
100,2021-05-06,4,0.8529636764279844,0.004264818382139922
101,2021-05-06,5,0.8044858015930567,0.004022429007965284
102,2021-05-06,6,0.7994188588095672,0.003997094294047836
103,2021-05-06,7,0.8253391429821184,0.004126695714910592
104,2021-05-06,8,0.8827598782589698,0.004413799391294849
105,2021-05-06,9,0.9236527056531627,0.004618263528265814
106,2022-05-05,0,1.0,0.005
107,2022-05-05,1,1.0,0.005
108,2022-05-05,2,0.9372686414007467,0.0046863432070037335
109,2022-05-05,3,0.9222534328646255,0.004611267164323128
110,2022-05-05,4,0.8531119410322479,0.00426555970516124
111,2022-05-05,5,0.814925942193591,0.004074629710967955
112,2022-05-05,6,0.8045378098257783,0.004022689049128891
113,2022-05-05,7,0.8375641423225154,0.004187820711612577
114,2022-05-05,8,0.903032827882631,0.004515164139413155
115,2022-05-05,9,0.9432801245953366,0.004716400622976683
