,date,group,turnover,cost
50,2016-05-03,4,0.889398660578652,0.004446993302893261
51,2016-05-03,5,0.8128377154816544,0.004064188577408272
52,2016-05-03,6,0.8454346059343878,0.004227173029671939
53,2016-05-03,7,0.8850159059165925,0.004425079529582963
54,2016-05-03,8,0.9539478252021755,0.004769739126010877
55,2016-05-03,9,0.9621845216557035,0.004810922608278517
56,2017-05-02,1,0.9999999999999999,0.004999999999999999
57,2017-05-02,2,0.988691084520096,0.00494345542260048
58,2017-05-02,3,0.9300678054807383,0.004650339027403692
59,2017-05-02,4,0.9066378203282072,0.004533189101641036
60,2017-05-02,5,0.812456204782386,0.00406228102391193
61,2017-05-02,6,0.841928587700485,0.004209642938502425
62,2017-05-02,7,0.9304143273081908,0.004652071636540954
63,2017-05-02,8,0.9307692307692307,0.004653846153846153
64,2017-05-02,9,0.972972972972973,0.0048648648648648655
65,2018-05-02,1,1.0,0.005
66,2018-05-02,2,0.9677419354838708,0.004838709677419354
67,2018-05-02,3,0.8865779352139933,0.004432889676069966
68,2018-05-02,4,0.8497529206726455,0.004248764603363228
69,2018-05-02,5,0.8826639363889802,0.004413319681944901
70,2018-05-02,6,0.8241388685447436,0.004120694342723718
71,2018-05-02,7,0.8400002027546909,0.004200001013773455
72,2018-05-02,8,0.8651563172054209,0.004325781586027104
73,2018-05-02,9,0.8653846153846154,0.004326923076923077
74,2019-05-06,1,0.9999999999999999,0.004999999999999999
75,2019-05-06,2,0.9268292682926829,0.004634146341463414
76,2019-05-06,3,0.9018718405077955,0.004509359202538977
77,2019-05-06,4,0.8510006569925787,0.004255003284962893
78,2019-05-06,5,0.8406186699237772,0.0042030933496188866
79,2019-05-06,6,0.8339600347666248,0.0041698001738331245
80,2019-05-06,7,0.8662703071874329,0.004331351535937165
81,2019-05-06,8,0.8650751082345096,0.004325375541172548
82,2019-05-06,9,0.9428631468707989,0.0047143157343539945
83,2020-05-06,1,0.9524432803567237,0.004762216401783618
84,2020-05-06,2,0.9089985104419399,0.004544992552209699
85,2020-05-06,3,0.9263926150150641,0.00463196307507532
86,2020-05-06,4,0.8653036823615082,0.004326518411807541
87,2020-05-06,5,0.8569970027442815,0.0042849850137214075
88,2020-05-06,6,0.823396599249004,0.0041169829962450204
89,2020-05-06,7,0.8998340302860532,0.004499170151430266
90,2020-05-06,8,0.9320425934974615,0.004660212967487308
91,2020-05-06,9,0.9189656844598713,0.0045948284222993565
92,2021-05-06,1,0.9999999999999999,0.004999999999999999
93,2021-05-06,2,0.9603274472350132,0.004801637236175066
94,2021-05-06,3,0.9562805546983276,0.0047814027734916385
95,2021-05-06,4,0.8655202781983664,0.004327601390991832
96,2021-05-06,5,0.811221750512898,0.00405610875256449
97,2021-05-06,6,0.8077059726253982,0.004038529863126991
98,2021-05-06,7,0.8501759297690986,0.004250879648845493
99,2021-05-06,8,0.8924443790379815,0.004462221895189907
100,2021-05-06,9,0.9630973699891013,0.004815486849945507
101,2022-05-05,0,1.0,0.005
102,2022-05-05,1,1.0,0.005
103,2022-05-05,2,0.9540229885057472,0.004770114942528736
104,2022-05-05,3,0.9149957278946003,0.004574978639473002
105,2022-05-05,4,0.8695110599538496,0.004347555299769248
106,2022-05-05,5,0.8299724773817982,0.004149862386908992
107,2022-05-05,6,0.825306359985369,0.004126531799926845
108,2022-05-05,7,0.8338234407549331,0.0041691172037746655
109,2022-05-05,8,0.8956613996040945,0.004478306998020472
110,2022-05-05,9,0.9714285714285714,0.004857142857142858
111,2023-05-04,0,0.9999999999999999,0.004999999999999999
112,2023-05-04,1,0.8863636363636365,0.004431818181818183
113,2023-05-04,2,0.9279279279279281,0.004639639639639641
114,2023-05-04,3,0.871591425586741,0.004357957127933705
115,2023-05-04,4,0.8415995748563811,0.004207997874281906
116,2023-05-04,5,0.8312845945958749,0.004156422972979375
117,2023-05-04,6,0.8456089787593756,0.004228044893796878
118,2023-05-04,7,0.8604508792050085,0.004302254396025043
119,2023-05-04,8,0.875444723139842,0.00437722361569921
120,2023-05-04,9,0.9414232970648007,0.004707116485324003
121,2024-05-06,0,1.0000000000000002,0.005000000000000001
122,2024-05-06,1,0.9654337705237572,0.004827168852618786
123,2024-05-06,2,0.9316593924584765,0.004658296962292383
124,2024-05-06,3,0.8887433890264801,0.004443716945132401
125,2024-05-06,4,0.8518780690343535,0.004259390345171767
126,2024-05-06,5,0.8361832974611723,0.004180916487305861
127,2024-05-06,6,0.8438351289139536,0.004219175644569769
128,2024-05-06,7,0.8772929781162349,0.004386464890581174
129,2024-05-06,8,0.8983957219251337,0.004491978609625669
130,2024-05-06,9,1.0,0.005
131,2025-05-06,0,1.0,0.005
132,2025-05-06,1,0.9434736221178756,0.0047173681105893775
133,2025-05-06,2,0.8622568382199833,0.004311284191099917
134,2025-05-06,3,0.8892174432273194,0.004446087216136597
135,2025-05-06,4,0.8309121178516694,0.004154560589258347
136,2025-05-06,5,0.8344051750402348,0.004172025875201174
137,2025-05-06,6,0.809990298174176,0.00404995149087088
138,2025-05-06,7,0.8422187626185051,0.0042110938130925256
139,2025-05-06,8,0.9332805606995749,0.004666402803497874
140,2025-05-06,9,0.9087839749143933,0.0045439198745719665
